,股票代码,综合排名,最新季报增长率,EPS,股价强度,SMR,收益额增长稳定性,ROE,年度新高,量比变化,,行业板块,行业板块强度,季报日期,公告日,港股持股比例,当日涨幅,最新业绩预告,预告下限,预告上线
,code,cumulative_rank,new_quarter_eps,eps,rps,smr,eps_stability,roe,decline_range,volume_ratio,index_code,industry_name,industry_rps,period_date,ann_date,hk_hold,pct_chg,forecast,p_change_min,p_change_max
1784,300410.SZ,5.3,20.0,0.9,5.9,74.6,95.9,-62.3028,-68.6,0.46,850731.SI,仪器仪表,66.1,2020-03-31,2020-04-29,,-1.97,,,
1785,300411.SZ,58.9,1400.0,4.4,70.7,98.8,89.5,3.2669,-25.3,0.71,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-29,,-0.94,,,
1786,300412.SZ,81.5,100.0,41.8,72.6,90.6,28.7,6.4912,-8.7,0.97,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-29,,-2.85,,,
1787,300413.SZ,93.9,0.0,60.5,89.6,75.1,22.9,16.0336,-5.1,0.83,852221.SI,互联网信息服务,99.6,2020-03-31,2020-04-25,1.68,0.13,,,
1788,300414.SZ,31.5,-9.62,28.0,47.0,22.5,20.6,5.7851,-27.7,0.73,851014.SI,通信配套服务,78.9,2020-03-31,2020-04-16,,-1.11,,,
1789,300415.SZ,74.5,-125.0,81.4,59.7,23.3,54.7,15.976,-27.2,2.05,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-29,,-3.31,略减,,
1790,300416.SZ,61.3,-133.33,60.4,75.0,9.6,48.4,10.6431,-24.6,2.16,850731.SI,仪器仪表,66.1,2020-03-31,2020-04-25,,5.35,,,
1791,300417.SZ,72.1,-13.3,97.4,37.8,69.0,74.0,47.8279,-47.9,0.75,850731.SI,仪器仪表,66.1,2020-03-31,2020-04-27,,-1.41,,,
1792,300418.SZ,98.5,33.33,79.9,92.7,88.0,22.8,26.3051,-14.3,1.66,852222.SI,移动互联网服务,97.4,2020-03-31,2020-04-29,2.42,7.68,略增,,
1793,300419.SZ,35.2,69.0,5.9,47.0,92.0,78.3,-3.5842,-31.8,0.53,852226.SI,IT服务,70.5,2020-03-31,2020-04-29,,-3.34,,,
1794,300420.SZ,75.8,-30.63,75.2,65.6,54.5,41.8,9.6355,-27.2,0.89,850716.SI,其它通用机械,63.9,2020-03-31,2020-04-29,,-1.19,,,
1795,300421.SZ,20.0,-78.7,30.9,25.1,36.7,20.4,3.4249,-30.0,1.02,850712.SI,机械基础件,56.8,2020-03-31,2020-04-25,,-0.34,,,
1796,300422.SZ,75.6,-15.0,86.6,67.5,59.2,48.1,17.0082,-21.4,0.66,851641.SI,环保工程及服务,26.4,2020-03-31,2020-04-29,0.0,-0.09,,,
1797,300423.SZ,75.8,-11.76,98.6,47.0,60.9,87.9,18.6824,-22.0,1.37,857342.SI,中压设备,42.7,2020-03-31,2020-04-28,0.36,-1.67,,,
1798,300424.SZ,50.9,-46.15,51.4,45.5,82.8,23.1,6.8461,-34.5,0.74,857421.SI,航空装备,43.2,2020-03-31,2020-04-29,,-0.66,,,
1799,300425.SZ,47.3,14.77,73.8,34.9,56.3,85.4,9.5922,-26.9,1.23,851641.SI,环保工程及服务,26.4,2020-03-31,2020-04-25,,-1.33,,,
1800,300426.SZ,53.2,45.45,12.1,64.6,94.7,66.6,-50.9919,-14.7,1.75,852242.SI,影视动漫,59.5,2020-03-31,2020-04-29,,1.94,,,
1801,300427.SZ,78.6,31.34,80.2,53.9,80.7,75.7,10.8899,-24.7,0.91,857321.SI,电网自动化,60.8,2020-03-31,2020-04-29,0.0,0.36,,,
1802,300428.SZ,76.8,-31.58,61.6,80.3,53.4,11.4,12.9734,-21.5,0.47,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-16,0.03,0.46,,,
1803,300429.SZ,82.2,-21.06,50.3,91.8,62.1,4.6,9.3049,-23.0,0.71,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-28,0.29,-1.46,,,
1804,300430.SZ,20.2,-260.0,57.6,18.6,13.0,44.3,4.8889,-53.2,0.71,850716.SI,其它通用机械,63.9,2020-03-31,2020-04-29,,-0.98,,,
1805,300432.SZ,61.7,149.03,10.6,78.2,89.4,68.6,30.2662,-4.6,0.71,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-25,0.02,1.46,,,
1806,300433.SZ,100.0,1100.0,91.2,99.4,96.6,76.8,12.5274,-1.8,0.81,850852.SI,电子零部件制造,100.0,2020-03-31,2020-04-30,2.62,-1.13,,,
1807,300434.SZ,80.5,-61.54,89.0,47.0,47.5,66.9,4.476,-17.5,1.08,851512.SI,化学制剂,92.1,2020-03-31,2020-04-29,,3.09,略减,,
1808,300435.SZ,21.1,28.57,50.4,6.5,95.7,25.7,5.3013,-42.5,0.69,851631.SI,燃气,14.1,2020-03-31,2020-04-27,,-1.44,,,
1809,300436.SZ,54.9,-75.51,19.2,79.6,35.2,44.8,1.9191,-26.8,0.65,851512.SI,化学制剂,92.1,2020-03-31,2020-04-23,,0.06,,,
1810,300437.SZ,62.9,-37.73,87.0,30.0,43.8,61.2,7.5873,-31.1,0.53,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-27,,-0.49,,,
1811,300438.SZ,57.3,-56.25,56.7,50.2,28.6,38.5,7.3917,-30.8,1.06,850841.SI,其他电子,93.8,2020-03-31,2020-04-24,0.14,-1.89,,,
1812,300439.SZ,53.3,128.57,15.0,73.9,32.6,51.2,-34.9115,-12.1,0.46,851551.SI,医疗器械,94.7,2020-03-31,2020-04-28,0.1,-1.74,,,
1813,300440.SZ,73.4,15.38,37.3,74.5,92.1,19.1,10.5082,-23.4,0.93,852226.SI,IT服务,70.5,2020-03-31,2020-04-28,,-1.47,,,
1814,300441.SZ,57.1,0.0,18.7,74.5,60.4,55.5,-9.9819,-6.5,0.76,850716.SI,其它通用机械,63.9,2020-03-31,2020-04-28,,-1.87,,,
1815,300442.SZ,30.3,-600.0,2.5,78.8,5.3,93.8,1.7738,-9.0,2.47,850726.SI,印刷包装机械,59.9,2020-03-31,2020-04-30,,2.79,不确定,,
1816,300442.SZ,30.3,-600.0,2.5,78.8,5.3,93.8,1.8292,-9.0,2.47,850726.SI,印刷包装机械,59.9,2020-03-31,2020-04-30,,2.79,不确定,,
1817,300443.SZ,85.0,79.64,51.7,80.7,87.8,40.8,11.1773,-7.2,0.5,857332.SI,风电设备,71.8,2020-03-31,2020-04-25,0.0,-2.66,,,
1818,300444.SZ,2.2,-126.45,14.1,3.1,22.3,79.9,-54.562,-53.6,1.13,857342.SI,中压设备,42.7,2020-03-31,2020-04-28,,-1.82,,,
1819,300445.SZ,77.3,-28.53,68.2,68.3,56.9,10.9,14.0511,-18.1,1.03,850731.SI,仪器仪表,66.1,2020-03-31,2020-04-28,,-1.31,,,
1820,300446.SZ,13.3,-65.17,42.2,1.7,37.4,13.7,16.7286,-60.7,0.8,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-27,,-1.5,预减,,
1821,300447.SZ,16.9,-49.36,21.0,45.5,47.8,49.9,11.769,-32.6,0.73,857344.SI,线缆部件及其他,15.0,2020-03-31,2020-04-29,,-0.8,,,
1822,300448.SZ,67.2,-478.21,63.8,85.5,5.2,59.6,11.5018,-33.5,0.79,852226.SI,IT服务,70.5,2020-03-31,2020-04-28,0.0,-3.31,,,
1823,300449.SZ,8.5,166.67,1.0,3.3,92.9,95.6,-43.4171,-49.5,0.67,851021.SI,计算机设备,62.1,2020-03-31,2020-04-28,,-0.78,,,
1824,300450.SZ,85.0,-51.39,60.7,88.7,52.0,36.2,19.8168,-22.4,1.16,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-28,4.89,-2.65,,,
1825,300451.SZ,79.0,-11.11,87.4,26.6,76.3,82.6,12.791,-9.4,2.02,852225.SI,软件开发,91.2,2020-03-31,2020-04-25,0.78,4.55,,,
1826,300452.SZ,96.0,21.43,67.1,90.1,78.2,7.7,16.5617,0.0,1.08,851511.SI,化学原料药,93.4,2020-03-31,2020-04-28,,6.22,,,
1827,300453.SZ,97.8,150.0,67.4,98.5,92.6,32.8,9.674,-10.9,0.93,851551.SI,医疗器械,94.7,2020-03-31,2020-04-24,,3.6,,,
1828,300454.SZ,90.5,-433.33,82.0,95.1,18.4,69.9,19.5633,-15.2,1.67,852225.SI,软件开发,91.2,2020-03-31,2020-04-25,3.79,5.19,首亏,,
1829,300455.SZ,80.9,0.87,53.2,94.6,68.7,0.8,13.0905,-30.7,1.17,851021.SI,计算机设备,62.1,2020-03-31,2020-04-28,0.04,-1.93,,,
1830,300456.SZ,72.2,-50.46,72.9,55.2,64.7,63.3,5.5733,-24.4,1.13,857411.SI,航天装备,61.2,2020-03-31,2020-04-27,0.5,1.28,,,
1831,300457.SZ,87.2,115.79,63.2,76.9,91.6,31.5,5.3909,-32.3,0.75,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-24,1.36,-0.44,,,
1832,300458.SZ,98.5,14.29,96.2,91.1,72.2,95.7,6.2291,-11.2,2.93,850811.SI,集成电路,80.6,2020-03-31,2020-04-28,1.31,10.0,,,
1833,300459.SZ,15.3,-14.29,14.6,3.5,70.1,57.6,-53.2916,-49.5,0.63,852222.SI,移动互联网服务,97.4,2020-03-31,2020-04-30,1.68,9.86,,,
1834,300460.SZ,48.8,37.7,9.1,71.8,71.2,67.3,-22.5395,-45.8,1.2,850823.SI,被动元件,92.5,2020-03-31,2020-04-25,,-1.32,,,
1835,300461.SZ,9.4,-96.55,10.9,11.9,23.2,77.0,-143.7305,-37.6,1.82,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-29,,-2.37,,,
1836,300462.SZ,95.1,100.0,94.4,81.1,97.1,65.0,25.0195,-32.1,0.65,851021.SI,计算机设备,62.1,2020-03-31,2020-04-27,,-1.03,,,
1837,300463.SZ,92.7,-36.32,65.4,97.3,53.1,5.6,18.0451,-10.9,0.7,851551.SI,医疗器械,94.7,2020-03-31,2020-04-24,3.78,3.78,,,
1838,300464.SZ,86.0,-62.42,99.9,73.9,62.4,97.2,12.8506,-44.8,0.84,850712.SI,机械基础件,56.8,2020-03-31,2020-04-30,,-3.04,,,
1839,300465.SZ,90.9,-200.0,91.0,92.0,17.2,63.7,10.7099,-22.7,4.63,852225.SI,软件开发,91.2,2020-03-31,2020-04-29,,8.35,,,
1840,300466.SZ,2.9,-140.82,7.4,16.2,6.3,74.9,-19.9379,-47.2,0.76,857323.SI,计量仪表,52.0,2020-03-31,2020-04-29,,-0.67,,,
1841,300467.SZ,39.9,-68.75,11.0,50.2,60.6,68.3,-72.1285,-30.4,2.12,852223.SI,其他互联网服务,97.8,2020-03-31,2020-04-28,0.04,10.02,,,
1842,300468.SZ,79.8,-42.86,55.6,82.4,51.7,15.2,8.9249,-28.5,2.44,852225.SI,软件开发,91.2,2020-03-31,2020-04-29,0.03,3.53,,,
1843,300469.SZ,6.7,-7.69,13.7,1.7,34.0,59.5,-39.7104,-58.5,0.29,852225.SI,软件开发,91.2,2020-03-31,2020-04-29,,-0.37,,,
1844,300470.SZ,86.4,-38.38,75.7,78.2,54.3,21.1,17.9202,-1.7,3.12,850716.SI,其它通用机械,63.9,2020-03-31,2020-04-23,,4.22,,,
1845,300471.SZ,12.0,-184.38,4.5,31.7,14.1,84.0,1.7171,-38.7,0.8,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-27,,-1.16,,,
1846,300472.SZ,37.8,-64.29,84.5,2.5,35.4,54.5,5.5512,-53.3,1.01,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-29,,0.09,,,
1847,300473.SZ,25.8,-53.27,30.3,39.5,47.6,31.6,2.8639,-46.5,0.79,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-28,,-1.36,,,
1848,300474.SZ,84.8,14.29,52.0,89.6,87.4,15.7,7.7016,-16.2,1.38,857411.SI,航天装备,61.2,2020-03-31,2020-04-24,1.66,1.08,,,
1849,300475.SZ,37.5,-33.33,55.3,11.0,58.7,99.8,5.1604,-40.3,0.97,851115.SI,家电零部件,93.0,2020-03-31,2020-04-29,,-0.58,,,
1850,300476.SZ,93.4,0.0,66.6,96.5,79.0,16.2,14.6866,-17.1,0.8,850822.SI,印制电路板,78.4,2020-03-31,2020-04-29,1.56,0.76,略增,15.0,25.0
1851,300477.SZ,13.4,-300.0,31.4,31.7,8.1,53.5,3.1772,-32.7,0.74,857342.SI,中压设备,42.7,2020-03-31,2020-04-25,0.03,0.0,,,
1852,300478.SZ,2.2,-525.32,4.7,16.2,5.7,82.2,-71.8238,-33.7,1.19,850351.SI,其他塑料制品,32.6,2020-03-31,2020-04-25,,-2.57,,,
1853,300479.SZ,46.1,-402.74,54.3,57.6,3.0,56.4,3.3904,-19.9,0.95,851021.SI,计算机设备,62.1,2020-03-31,2020-04-18,,-0.19,,,
1854,300480.SZ,80.8,9.84,66.1,64.6,77.6,14.6,7.8374,-16.8,1.02,850725.SI,冶金矿采化工设备,73.1,2020-03-31,2020-04-29,,-0.82,,,
1855,300481.SZ,91.1,18.18,73.1,83.8,73.9,4.9,17.8118,-14.7,0.97,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-24,0.0,0.72,,,
1856,300482.SZ,99.1,38.1,78.2,97.4,87.7,4.4,18.6379,-3.3,1.05,851551.SI,医疗器械,94.7,2020-03-31,2020-04-21,4.43,1.39,,,
1857,300483.SZ,81.5,17.63,97.2,33.5,79.8,76.3,4.1997,-30.3,1.27,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-25,,0.27,,,
1858,300484.SZ,40.5,0.0,8.4,48.6,97.3,72.3,-24.3169,-20.8,1.09,857322.SI,工控自动化,61.7,2020-03-31,2020-04-28,,1.25,,,
1859,300485.SZ,80.1,-44.44,30.1,96.1,64.9,14.8,5.686,-21.5,0.52,851531.SI,生物制品,96.0,2020-03-31,2020-04-29,0.09,-5.14,,,
1860,300486.SZ,98.7,16.95,90.3,86.1,78.1,53.1,7.2303,0.0,0.88,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-21,,0.1,,,
1861,300487.SZ,77.8,-53.57,86.0,61.5,40.3,42.9,22.7654,-34.4,0.79,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-29,0.88,-0.75,,,
1862,300488.SZ,24.4,-80.95,72.6,3.8,35.7,26.5,13.2107,-50.0,0.77,850712.SI,机械基础件,56.8,2020-03-31,2020-04-28,,-1.27,,,
1863,300489.SZ,66.3,56.01,0.1,91.5,81.4,98.5,-27.3823,-3.6,1.95,850521.SI,金属新材料,76.2,2020-03-31,2020-04-27,,1.18,,,
1864,300490.SZ,21.0,-700.0,62.3,12.9,8.2,66.2,5.1147,-38.6,0.88,857321.SI,电网自动化,60.8,2020-03-31,2020-04-25,,-0.61,,,
1865,300491.SZ,16.7,-2550.0,32.7,26.6,2.7,90.8,5.5047,-34.1,0.97,857335.SI,储能设备,75.3,2020-03-31,2020-04-25,,0.42,,,
1866,300492.SZ,57.8,-433.33,47.2,92.3,9.1,59.2,6.9391,-3.1,2.05,850623.SI,房屋建设,22.5,2020-03-31,2020-04-28,,3.15,不确定,,
1867,300493.SZ,53.7,-50.0,30.0,66.6,49.7,19.9,3.9878,-28.8,1.08,850811.SI,集成电路,80.6,2020-03-31,2020-04-29,,0.67,,,
1868,300494.SZ,88.2,470.43,29.9,93.1,97.7,58.0,5.3094,-8.4,1.28,852221.SI,互联网信息服务,99.6,2020-03-31,2020-04-28,0.0,-2.58,,,
1869,300494.SZ,88.2,470.43,29.9,93.1,97.7,58.0,5.229,-8.4,1.28,852221.SI,互联网信息服务,99.6,2020-03-31,2020-04-28,0.0,-2.58,,,
1870,300495.SZ,9.3,-365.43,42.6,19.9,8.9,57.4,5.6902,-27.7,0.7,857251.SI,园林工程,12.8,2020-03-31,2020-04-29,0.51,-2.19,,,
1871,300496.SZ,96.8,29.93,80.2,97.6,84.3,33.7,13.939,-15.3,0.95,852226.SI,IT服务,70.5,2020-03-31,2020-04-14,2.21,0.93,,,
1872,300497.SZ,95.7,55.0,68.3,81.4,90.6,11.9,23.4698,-0.3,0.9,851511.SI,化学原料药,93.4,2020-03-31,2020-04-25,,3.89,预增,90.0,110.0
1873,300498.SZ,50.2,503.85,85.5,4.1,96.4,63.1,35.0581,-39.1,0.93,850171.SI,畜禽养殖,46.7,2020-03-31,2020-04-24,3.2,-2.24,,,
1874,300499.SZ,55.8,0.0,41.2,28.3,94.7,32.0,7.5068,-21.5,1.2,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-25,,2.27,,,
1875,300500.SZ,47.2,-96.9,77.7,28.3,74.1,31.2,12.49,-35.7,0.94,850623.SI,房屋建设,22.5,2020-03-31,2020-04-25,,-1.09,,,
1876,300501.SZ,43.3,-47.06,34.9,48.6,60.8,7.0,10.0062,-44.2,0.54,851421.SI,包装印刷,76.7,2020-03-31,2020-04-22,,-0.56,,,
1877,300502.SZ,99.8,73.43,95.6,97.9,88.6,90.1,17.2789,0.0,0.68,851012.SI,终端设备,80.2,2020-03-31,2020-04-23,1.35,1.89,,,
1878,300503.SZ,73.5,400.0,13.6,91.1,98.4,61.5,-18.3698,-8.7,0.51,850716.SI,其它通用机械,63.9,2020-03-31,2020-04-29,0.0,-2.5,,,
1879,300504.SZ,43.0,-21.05,30.9,47.0,46.3,15.1,6.0368,-22.6,0.63,851012.SI,终端设备,80.2,2020-03-31,2020-04-24,0.78,-0.87,,,
1880,300505.SZ,23.2,20.67,45.8,10.1,63.4,5.5,8.8474,-25.7,3.14,850383.SI,磷化工及磷酸盐,39.2,2020-03-31,2020-04-24,,3.13,,,
1881,300506.SZ,10.9,-142.86,70.3,0.2,15.9,46.6,7.604,-73.2,1.85,857221.SI,装修装饰,45.4,2020-03-31,2020-04-27,0.0,-3.04,首亏,,
1882,300507.SZ,51.6,166.67,29.6,48.6,94.2,37.6,6.8872,-23.1,1.81,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-28,0.0,-4.98,,,
1883,300508.SZ,40.4,-145.02,90.9,12.9,12.1,95.0,13.0933,-38.3,1.56,852226.SI,IT服务,70.5,2020-03-31,2020-04-17,0.0,0.71,,,
1884,300509.SZ,55.7,-75.0,29.4,73.9,39.9,14.7,7.0196,-6.1,1.09,850726.SI,印刷包装机械,59.9,2020-03-31,2020-04-28,,2.59,,,
1885,300510.SZ,1.2,-1755.56,10.8,1.5,19.5,86.1,-33.4848,-63.7,0.64,857342.SI,中压设备,42.7,2020-03-31,2020-04-28,,-2.47,,,
1886,300511.SZ,74.5,29.03,61.5,83.4,84.3,47.3,13.3151,-11.8,1.13,850112.SI,粮食种植,4.4,2020-03-31,2020-04-25,0.0,-0.96,,,
1887,300512.SZ,37.7,-54.59,29.1,52.7,40.4,12.4,7.9876,-19.5,1.01,850726.SI,印刷包装机械,59.9,2020-03-31,2020-04-29,,-4.74,,,
1888,300513.SZ,28.6,-92.89,76.6,2.3,28.6,83.1,6.758,-53.5,0.68,851014.SI,通信配套服务,78.9,2020-03-31,2020-04-28,,-1.21,,,
1889,300514.SZ,29.1,37.57,31.8,28.3,71.2,41.4,9.6722,-29.6,0.73,857323.SI,计量仪表,52.0,2020-03-31,2020-04-28,,-0.91,,,
1890,300515.SZ,69.1,15.05,41.9,65.6,82.0,31.9,9.0129,-17.0,1.1,850731.SI,仪器仪表,66.1,2020-03-31,2020-04-21,,3.05,,,
1891,300516.SZ,28.4,-84.14,24.5,31.7,31.2,19.6,5.4699,-26.1,0.94,850841.SI,其他电子,93.8,2020-03-31,2020-04-30,0.0,-0.57,,,
1892,300517.SZ,48.5,-61.54,25.8,63.5,29.9,45.2,3.7002,-7.5,0.55,857241.SI,钢结构,77.5,2020-03-31,2020-04-28,,-1.94,,,
1893,300518.SZ,66.5,210.53,2.7,78.8,85.2,90.3,-24.857,-7.4,1.6,852222.SI,移动互联网服务,97.4,2020-03-31,2020-04-28,0.0,0.97,,,
1894,300519.SZ,69.9,-15.0,30.8,73.9,66.8,4.5,12.093,-5.0,0.87,851521.SI,中药,78.0,2020-03-31,2020-04-28,,-1.55,,,
1895,300520.SZ,72.9,-280.56,87.4,61.5,5.0,79.4,8.2911,-33.4,0.95,852225.SI,软件开发,91.2,2020-03-31,2020-04-28,,-1.71,不确定,,
1896,300521.SZ,50.5,-251.67,18.7,93.9,26.5,43.1,1.121,-27.6,0.53,850726.SI,印刷包装机械,59.9,2020-03-31,2020-04-28,,-2.3,,,
1897,300522.SZ,63.1,-27.68,45.0,63.5,55.4,10.5,11.4861,0.0,1.18,850335.SI,涂料油漆油墨制造,54.2,2020-03-31,2020-04-22,,-0.84,,,
1898,300523.SZ,29.5,-900.0,55.6,26.6,2.4,96.6,8.8445,-21.6,1.83,852226.SI,IT服务,70.5,2020-03-31,2020-04-23,0.49,3.44,,,
1899,300525.SZ,92.4,-74.47,76.1,91.3,34.4,59.9,11.7061,0.0,0.73,852225.SI,软件开发,91.2,2020-03-31,2020-04-27,0.68,4.67,,,
1900,300526.SZ,59.0,-1100.0,34.8,100.0,2.9,75.2,4.9452,-41.6,1.1,851327.SI,其他服装,81.5,2020-03-31,2020-04-29,0.06,-0.7,,,
1901,300527.SZ,13.5,-417.11,44.4,26.6,7.4,54.8,7.6394,-44.1,1.24,857431.SI,地面兵装,39.6,2020-03-31,2020-04-29,0.34,0.69,,,
1902,300528.SZ,15.6,-775.0,12.0,45.5,3.4,72.2,0.483,-21.2,0.65,852242.SI,影视动漫,59.5,2020-03-31,2020-04-28,,0.44,,,
1903,300529.SZ,95.6,41.94,79.8,68.3,91.2,6.0,29.723,0.0,0.67,851551.SI,医疗器械,94.7,2020-03-31,2020-04-16,1.84,2.13,,,
1904,300530.SZ,48.3,-137.5,27.8,64.6,13.5,27.2,5.7213,0.0,1.35,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-29,,5.29,不确定,,
1905,300531.SZ,72.4,-52.94,62.0,62.5,35.8,43.2,5.2719,-6.1,0.59,851012.SI,终端设备,80.2,2020-03-31,2020-04-28,0.0,-0.82,不确定,,
1906,300532.SZ,25.5,-142.86,79.3,3.5,18.5,45.7,6.1663,-54.6,0.71,852226.SI,IT服务,70.5,2020-03-31,2020-04-28,,-0.67,不确定,,
1907,300533.SZ,76.7,24.14,48.6,52.7,89.0,32.4,9.8136,-13.3,1.71,852222.SI,移动互联网服务,97.4,2020-03-31,2020-04-27,,2.86,,,
1908,300534.SZ,34.2,-96.82,21.8,48.6,30.8,19.7,1.7607,-17.2,0.43,851521.SI,中药,78.0,2020-03-31,2020-04-25,,0.0,,,
1909,300535.SZ,15.6,-184.04,27.4,33.5,18.4,33.0,5.3882,-22.5,0.99,850338.SI,纺织化学用品,38.8,2020-03-31,2020-04-29,,-0.81,不确定,,
1910,300536.SZ,19.1,-100.0,36.2,45.5,33.6,21.2,8.8831,-38.5,0.87,857251.SI,园林工程,12.8,2020-03-31,2020-04-28,,-0.64,不确定,,
1911,300537.SZ,67.6,-82.58,55.7,82.9,32.0,38.5,5.5577,-21.3,0.83,850335.SI,涂料油漆油墨制造,54.2,2020-03-31,2020-04-27,,-2.7,,,
1912,300538.SZ,86.7,12.06,62.1,88.4,84.9,40.6,8.9689,-23.2,0.85,850353.SI,改性塑料,63.0,2020-03-31,2020-04-27,,-3.54,,,
1913,300539.SZ,6.5,-150.0,18.5,22.4,14.2,30.9,2.1846,-32.6,1.11,850351.SI,其他塑料制品,32.6,2020-03-31,2020-04-27,,0.29,,,
1914,300540.SZ,12.0,-382.12,9.8,23.7,8.3,69.6,1.3675,-27.3,1.46,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-30,,2.87,,,
1915,300541.SZ,70.7,13775.0,34.1,67.5,99.9,99.2,8.6939,-21.4,0.38,852226.SI,IT服务,70.5,2020-03-31,2020-04-24,,-0.51,,,
1916,300542.SZ,35.5,-66.67,60.2,15.1,28.5,35.9,8.5503,-32.8,1.18,852225.SI,软件开发,91.2,2020-03-31,2020-04-28,,-1.08,,,
1917,300543.SZ,58.1,-5.88,70.8,12.9,57.9,48.1,14.5294,-15.9,0.81,850852.SI,电子零部件制造,100.0,2020-03-31,2020-04-25,,-1.24,,,
1918,300545.SZ,87.5,36.36,67.2,80.0,74.6,43.3,12.3161,-34.6,0.78,850831.SI,显示器件,95.6,2020-03-31,2020-04-21,,-1.24,,,
1919,300546.SZ,52.9,-242.86,72.1,53.9,12.9,57.6,15.3084,-34.8,0.63,851021.SI,计算机设备,62.1,2020-03-31,2020-04-24,,-2.03,不确定,,
1920,300547.SZ,22.7,-68.99,36.3,18.6,51.4,21.7,13.8411,-35.1,0.94,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-28,,-0.88,,,
1921,300548.SZ,91.8,-25.0,76.9,89.3,94.1,44.2,1.268,-24.4,1.47,851013.SI,通信传输设备,54.6,2020-03-31,2020-04-28,,2.04,,,
1922,300549.SZ,21.8,-166.67,24.0,30.0,18.1,38.9,4.0963,-31.6,0.61,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-25,,-0.9,不确定,,
1923,300550.SZ,20.7,-83.33,32.7,11.0,36.2,51.1,7.0761,-36.3,0.84,852225.SI,软件开发,91.2,2020-03-31,2020-04-27,,0.74,,,
1924,300551.SZ,91.0,12.5,84.4,75.0,55.8,58.3,8.0218,-11.0,0.92,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-28,,-0.38,,,
1925,300552.SZ,98.9,606.67,100.0,86.8,97.6,98.9,72.539,-36.4,0.69,852225.SI,软件开发,91.2,2020-03-31,2020-04-25,0.34,-0.52,扭亏,,
1926,300553.SZ,30.7,-150.0,30.6,51.5,14.3,29.7,6.2845,-23.9,0.75,850731.SI,仪器仪表,66.1,2020-03-31,2020-04-25,,-0.43,,,
1927,300554.SZ,32.8,61.44,28.3,44.1,88.4,55.3,1.97,-43.9,0.84,850713.SI,磨具磨料,38.3,2020-03-31,2020-04-24,,-0.4,,,
1928,300555.SZ,5.5,-521.33,17.9,17.4,2.1,56.5,0.7792,-40.2,1.96,851013.SI,通信传输设备,54.6,2020-03-31,2020-04-27,,0.84,,,
1929,300556.SZ,78.2,14.29,61.5,58.6,65.0,57.4,5.6689,-13.8,1.57,852225.SI,软件开发,91.2,2020-03-31,2020-04-25,,2.72,不确定,,
1930,300557.SZ,57.2,8.7,19.3,63.5,85.1,86.2,2.0919,-11.8,0.75,850731.SI,仪器仪表,66.1,2020-03-31,2020-04-29,,2.07,续亏,,
1931,300558.SZ,90.5,153.85,31.4,99.5,95.4,37.3,9.9315,0.0,1.09,851512.SI,化学制剂,92.1,2020-03-31,2020-04-23,2.89,10.0,,,
1932,300559.SZ,90.8,74.83,80.5,60.6,90.5,50.0,23.7401,-13.0,0.77,852225.SI,软件开发,91.2,2020-03-31,2020-04-24,1.1,-0.42,,,
1933,300560.SZ,57.8,75.0,40.9,42.6,88.6,21.8,10.2049,-27.1,0.55,851014.SI,通信配套服务,78.9,2020-03-31,2020-04-30,,0.0,,,
1934,300561.SZ,58.0,-50.0,20.8,68.3,53.6,19.8,2.9693,-15.0,2.15,852225.SI,软件开发,91.2,2020-03-31,2020-04-28,,2.93,,,
1935,300562.SZ,86.0,200.0,36.2,90.4,90.0,64.1,5.6526,-15.6,1.66,851551.SI,医疗器械,94.7,2020-03-31,2020-04-25,,1.78,,,
1936,300563.SZ,58.6,8.3,49.4,50.2,75.7,3.1,10.5979,-18.5,0.81,851013.SI,通信传输设备,54.6,2020-03-31,2020-04-27,,-1.34,,,
1937,300565.SZ,20.1,44.44,9.3,30.0,78.9,64.7,-11.666,-36.5,0.4,851013.SI,通信传输设备,54.6,2020-03-31,2020-04-24,,0.0,,,
