,ts_code,close_x,close_y,RPS
547,002102.SZ,2.03,2.16,78.3
548,002103.SZ,4.84,4.23,56.7
549,002104.SZ,7.37,6.41,56.7
550,002105.SZ,4.82,5.02,76.5
551,002106.SZ,8.9,8.95,73.7
552,002107.SZ,8.82,10.68,86.3
553,002108.SZ,4.86,3.33,23.7
554,002109.SZ,4.49,3.07,22.2
555,002110.SZ,16.27,7.8,4.4
556,002111.SZ,12.94,14.1,80.3
557,002112.SZ,7.91,6.76,53.8
558,002113.SZ,3.86,1.36,1.1
559,002114.SZ,7.93,6.9,56.7
560,002115.SZ,12.0,9.41,40.5
561,002116.SZ,10.85,7.5,23.7
562,002117.SZ,19.15,10.85,9.7
563,002118.SZ,9.9,5.27,6.9
564,002119.SZ,12.47,11.72,66.3
565,002120.SZ,37.68,29.87,42.5
566,002122.SZ,3.14,1.52,4.4
567,002123.SZ,12.2,13.66,82.1
568,002124.SZ,16.73,12.07,28.5
569,002125.SZ,10.09,6.79,20.9
570,002126.SZ,8.71,8.75,72.8
571,002127.SZ,11.12,11.27,73.7
572,002128.SZ,8.85,7.29,48.0
573,002129.SZ,9.48,15.17,95.4
574,002130.SZ,5.03,4.47,59.7
575,002131.SZ,2.05,4.09,98.1
576,002132.SZ,2.9,2.66,63.9
577,002133.SZ,4.01,3.03,36.3
578,002134.SZ,8.32,8.48,74.8
579,002135.SZ,6.06,9.4,94.5
580,002136.SZ,8.73,8.5,69.9
581,002137.SZ,7.41,7.09,68.6
582,002138.SZ,17.89,20.73,84.4
583,002139.SZ,5.63,5.52,71.0
584,002140.SZ,7.95,6.41,46.1
585,002141.SZ,4.62,3.17,23.7
586,002142.SZ,20.21,22.2,80.9
587,002144.SZ,12.07,9.01,34.3
588,002145.SZ,4.61,4.16,61.2
589,002146.SZ,10.8,8.13,34.3
590,002147.SZ,3.12,1.68,7.5
591,002148.SZ,6.94,4.55,19.5
592,002149.SZ,8.88,6.73,36.3
593,002150.SZ,7.59,5.99,42.5
594,002151.SZ,25.13,25.31,73.7
595,002152.SZ,7.0,8.81,87.9
596,002153.SZ,31.57,29.54,66.3
597,002154.SZ,3.88,3.09,44.4
598,002155.SZ,8.63,7.71,59.7
599,002156.SZ,10.47,24.12,98.9
600,002157.SZ,15.11,19.2,88.2
601,002158.SZ,10.36,12.09,84.9
602,002159.SZ,23.21,10.15,3.0
603,002160.SZ,3.98,4.42,81.5
604,002161.SZ,7.13,9.35,89.6
605,002162.SZ,3.86,3.23,52.0
606,002163.SZ,6.3,7.26,83.9
607,002164.SZ,3.8,3.46,62.5
608,002165.SZ,4.78,4.43,65.1
609,002166.SZ,8.67,7.93,62.5
610,002167.SZ,7.05,5.87,50.0
611,002168.SZ,11.26,7.22,16.7
612,002169.SZ,5.41,9.0,96.1
613,002170.SZ,4.2,3.95,66.3
614,002171.SZ,6.24,7.88,87.9
615,002172.SZ,5.17,3.17,13.5
616,002173.SZ,8.48,5.25,14.6
617,002174.SZ,21.89,19.48,59.7
618,002175.SZ,5.4,1.86,0.9
619,002176.SZ,5.92,2.09,1.1
620,002177.SZ,5.07,4.4,56.7
621,002178.SZ,4.65,4.68,73.7
622,002179.SZ,39.98,34.05,53.8
623,002180.SZ,31.45,27.88,59.7
624,002181.SZ,6.19,4.57,32.2
625,002182.SZ,8.51,9.34,80.9
626,002183.SZ,5.62,3.92,25.4
627,002184.SZ,11.95,12.89,79.6
628,002185.SZ,5.84,10.77,97.4
629,002186.SZ,12.74,9.34,30.2
630,002187.SZ,9.04,7.77,55.3
631,002188.SZ,4.25,4.54,79.0
632,002189.SZ,27.88,16.82,12.4
633,002190.SZ,16.56,21.64,89.6
634,002191.SZ,14.57,9.14,15.6
635,002192.SZ,27.62,16.06,10.7
636,002193.SZ,10.35,6.87,19.5
637,002194.SZ,13.67,25.05,97.3
638,002195.SZ,5.77,2.79,4.4
639,002196.SZ,5.99,5.23,56.7
640,002197.SZ,9.1,8.25,62.5
641,002198.SZ,7.94,4.58,10.7
642,002199.SZ,13.84,8.4,13.5
643,002200.SZ,6.63,6.7,73.7
644,002201.SZ,7.82,15.51,97.9
645,002203.SZ,8.7,9.68,81.5
646,002204.SZ,4.19,2.87,22.2
647,002206.SZ,4.64,3.5,34.3
648,002207.SZ,6.36,5.21,48.0
649,002208.SZ,13.88,6.92,5.2
650,002209.SZ,8.1,6.29,40.5
651,002210.SZ,3.67,1.01,0.3
652,002211.SZ,5.59,5.12,63.9
653,002212.SZ,17.02,24.3,92.3
654,002213.SZ,9.37,16.62,97.0
655,002214.SZ,8.21,20.43,99.3
656,002215.SZ,6.29,6.0,67.5
657,002216.SZ,7.8,19.22,99.2
658,002217.SZ,6.98,5.74,48.0
659,002218.SZ,3.59,3.21,59.7
660,002219.SZ,3.68,2.23,13.5
661,002220.SZ,3.06,1.16,1.6
662,002221.SZ,9.63,8.68,61.2
