,ts_code,EPS,SMR,EPS_Stability
158,002163.SZ,91.7,85.8,81.6
159,002165.SZ,71.8,95.2,76.6
160,002167.SZ,1.1,1.7,91.6
161,002179.SZ,49.7,47.9,8.2
162,002181.SZ,18.8,77.7,77.7
163,002182.SZ,89.1,68.3,65.7
164,002190.SZ,79.8,56.8,96.8
165,002202.SZ,19.1,17.2,29.9
166,002211.SZ,3.6,4.4,84.6
167,002225.SZ,98.5,32.0,79.4
168,002231.SZ,2.2,89.9,88.8
169,002233.SZ,77.2,42.0,65.8
170,002236.SZ,58.8,60.6,11.8
171,002237.SZ,57.4,34.9,47.7
172,002242.SZ,38.0,62.0,1.9
173,002243.SZ,85.3,72.6,52.8
174,002245.SZ,23.9,6.2,49.7
175,002248.SZ,1.8,90.0,90.5
176,002254.SZ,80.5,43.6,38.5
177,002258.SZ,68.0,11.2,49.9
178,002262.SZ,67.2,62.7,2.1
179,002285.SZ,10.9,5.4,52.0
180,002299.SZ,94.5,92.4,75.8
181,002303.SZ,69.8,40.8,17.3
182,002312.SZ,67.6,97.0,94.7
183,002315.SZ,73.3,93.9,74.7
184,002318.SZ,81.7,68.0,45.6
185,002320.SZ,34.2,38.6,36.5
186,002324.SZ,46.6,84.9,48.3
187,002350.SZ,27.8,13.7,82.2
188,002352.SZ,43.2,52.3,56.6
189,002362.SZ,82.0,30.4,67.2
190,002367.SZ,99.0,96.4,88.5
191,002370.SZ,3.2,1.0,83.7
192,002379.SZ,100.0,1.1,98.3
193,002396.SZ,61.0,52.4,43.4
194,002398.SZ,71.9,75.7,36.1
195,002401.SZ,55.0,73.0,7.9
196,002410.SZ,17.6,40.7,34.6
197,002419.SZ,57.0,26.0,27.2
198,002428.SZ,3.5,0.4,84.4
199,002436.SZ,55.7,66.7,42.5
200,002438.SZ,78.4,81.2,51.7
201,002452.SZ,6.6,81.7,79.5
202,002458.SZ,96.0,97.6,96.1
203,002459.SZ,30.6,77.0,78.4
204,002461.SZ,75.0,89.5,33.5
205,002463.SZ,91.4,87.6,92.4
206,002465.SZ,39.1,67.1,31.5
207,002471.SZ,4.7,1.2,75.7
208,002484.SZ,50.3,34.4,8.7
209,002490.SZ,12.9,2.1,80.1
210,002492.SZ,43.4,40.4,35.8
211,002507.SZ,73.7,46.6,32.6
212,002518.SZ,43.0,55.3,23.7
