,index_code,industry_base_rank,industry_base_rps,industry_front_rank,industry_front_rps,industry_year_rank,industry_year_rps,industry_week_rank,industry_week_rps,industry_3_rank,industry_3_rps,industry_name,industry_6_rank,industry_6_rps,industry_7_rank,industry_7_rps,date
164,851751.SI,0.9,2.0,85.9,195.0,29.5,67.0,87.67,199.0,75.3,171.0,机场,80.2,182.0,15.9,36.0,2020-05-28
165,851761.SI,30.4,69.0,86.78,197.0,5.3,12.0,39.21,89.0,13.7,31.0,航运,8.4,19.0,31.7,72.0,2020-05-28
166,851771.SI,3.1,7.0,81.06,184.0,15.0,34.0,59.03,134.0,61.2,139.0,铁路运输,60.8,138.0,16.3,37.0,2020-05-28
167,851781.SI,16.3,37.0,39.21,89.0,63.0,143.0,58.15,132.0,76.7,174.0,物流,69.2,157.0,39.6,90.0,2020-05-28
168,851811.SI,31.7,72.0,76.65,174.0,24.7,56.0,81.5,185.0,49.8,113.0,房地产开发,41.9,95.0,37.4,85.0,2020-05-28
169,851821.SI,15.4,35.0,52.42,119.0,44.5,101.0,75.33,171.0,88.1,200.0,园区开发,90.3,205.0,23.8,54.0,2020-05-28
170,851911.SI,54.6,124.0,89.43,203.0,22.0,50.0,70.93,161.0,59.5,135.0,银行,64.8,147.0,20.7,47.0,2020-05-28
171,851921.SI,43.6,99.0,95.15,216.0,9.7,22.0,73.13,166.0,43.2,98.0,多元金融,34.4,78.0,14.1,32.0,2020-05-28
172,851931.SI,13.2,30.0,90.31,205.0,21.6,49.0,49.34,112.0,24.2,55.0,证券,26.0,59.0,45.8,104.0,2020-05-28
173,851941.SI,26.0,59.0,89.87,204.0,10.1,23.0,65.64,149.0,44.1,100.0,保险,59.9,136.0,3.5,8.0,2020-05-28
174,852021.SI,26.9,61.0,44.93,102.0,42.3,96.0,45.81,104.0,35.2,80.0,贸易,53.3,121.0,27.8,63.0,2020-05-28
175,852031.SI,39.2,89.0,11.89,27.0,66.5,151.0,88.55,201.0,98.7,224.0,百货,90.7,206.0,69.2,157.0,2020-05-28
